full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
YINSON HOLDINGS BERHAD,"YINSON (7293) [s]
YINSON HOLDINGS BERHAD Summary",Energy - Main Market,3.750 - 4.950,13.61,21,21.78,6.00,1.30%,2.88,94.65,5,"5,029.7M",Neutral 64.6,Neutral 58.6
VISDYNAMICS HOLDINGS BERHAD,"VIS (0120) [s]
VISDYNAMICS HOLDINGS BERHAD Summary",Technology - Ace Market,0.290 - 0.795,17.39,10,4.26,1.00,2.44%,1.67,21.82,2,69.4M,Oversold 28.3,Oversold 3.8
HIAP TECK VENTURE BERHAD,"HIAPTEK (5072) [s]
HIAP TECK VENTURE BERHAD Summary",Industrial Products & Services - Main Market,0.220 - 0.465,-1.65,-26,-1.02,0.50,1.89%,0.43,85.33,0,356.2M,Neutral 36.7,Oversold 7.1
XIAN LENG HOLDINGS BERHAD,"XIANLNG (7121) [s]
XIAN LENG HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.400 - 0.615,-1.84,-37,-1.16,0.00,0.00%,0.68,16.22,3,34.4M,Neutral 45.3,Neutral 50.0
ANZO HOLDINGS BERHAD,"ANZO (9342) [s]
ANZO HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.035 - 0.065,-2.53,-10,-0.42,0.00,0.00%,0.24,0.71,6,35.2M,Neutral 51.7,Overbought 100.0
SMTRACK BERHAD,"SMTRACK (0169) [s]
SMTRACK BERHAD Summary",Technology - Ace Market,0.055 - 0.150,-39.47,-3,-3.20,0.00,0.00%,1.17,1.29,7,13.9M,Neutral 60.1,Neutral 71.4
A-RANK BERHAD,"ARANK (7214) [s]
A-RANK BERHAD Summary",Industrial Products & Services - Main Market,0.500 - 0.915,10.21,7,7.76,2.30,4.42%,0.68,288.62,0,88.1M,Neutral 47.3,Neutral 22.2
KOMARKCORP BERHAD,"KOMARK (7017) [s]
KOMARKCORP BERHAD Summary",Industrial Products & Services - Main Market,0.120 - 0.290,-39.16,-2,-12.56,0.00,0.00%,0.84,30.74,1,44.4M,Overbought 72.8,Overbought 80.0
ASTRO MALAYSIA HOLDINGS BERHAD,"ASTRO (6399)
ASTRO MALAYSIA HOLDINGS BERHAD Summary",Telecommunications & Media - Main Market,1.050 - 2.090,79.14,17,8.88,9.00,5.88%,13.64,105.08,1,"7,977.9M",Neutral 44.9,Neutral 38.5
CRESCENDO CORPORATION BERHAD,"CRESNDO (6718) [s]
CRESCENDO CORPORATION BERHAD Summary",Property - Main Market,1.190 - 1.400,4.15,10,13.33,6.00,4.62%,0.40,105.40,1,364.6M,Neutral 52.8,Neutral 33.3
COMFORT GLOVES BERHAD,"COMFORT (2127) [s]
COMFORT GLOVES BERHAD Summary",Industrial Products & Services - Main Market,0.690 - 1.100,10.12,17,4.96,0.00,0.00%,1.76,84.33,1,483.3M,Neutral 56.4,Overbought 88.9
WONG ENGINEERING CORPORATION BERHAD,"WONG (7050) [s]
WONG ENGINEERING CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.515 - 1.100,7.31,14,4.14,1.60,2.81%,1.01,52.93,1,65.3M,Neutral 47.0,Neutral 64.7
TECK GUAN PERDANA BERHAD,"TECGUAN (7439)
TECK GUAN PERDANA BERHAD Summary",Consumer Products & Services - Main Market,0.695 - 1.550,5.19,22,6.35,0.00,0.00%,1.14,752.93,0,55.7M,Neutral 68.8,Neutral 72.4
KUMPULAN H & L HIGH-TECH BERHAD,"HIGHTEC (7033) [s]
KUMPULAN H & L HIGH-TECH BERHAD Summary",Industrial Products & Services - Main Market,1.110 - 1.680,2.99,16,7.57,3.50,2.92%,0.47,57.95,2,48.7M,Neutral 37.9,Neutral 45.0
PROLEXUS BERHAD,"PRLEXUS (8966) [s]
PROLEXUS BERHAD Summary",Consumer Products & Services - Main Market,0.500 - 0.850,1.40,31,1.80,0.50,0.91%,0.43,188.17,0,99.2M,Neutral 35.1,Neutral 20.8
SCGM BHD,"SCGM (7247) [s]
SCGM BHD Summary",Industrial Products & Services - Main Market,1.000 - 1.910,1.31,93,1.12,1.25,1.20%,1.22,112.14,1,201.3M,Oversold 23.2,Oversold 5.9
KIM LOONG RESOURCES BERHAD,"KMLOONG (5027) [s]
KIM LOONG RESOURCES BERHAD Summary",Plantation - Main Market,1.130 - 1.520,7.12,21,5.57,5.97,5.06%,1.51,93.32,1,"1,103.8M",Oversold 28.2,Oversold 0.0
V.S. INDUSTRY BERHAD,"VS (6963) [s]
V.S. INDUSTRY BERHAD Summary",Industrial Products & Services - Main Market,0.630 - 2.440,8.78,14,7.56,3.41,3.19%,1.24,217.45,0,"1,943.2M",Neutral 60.2,Overbought 85.2
SAPURA RESOURCES BERHAD,"SAPRES (4596) [s]
SAPURA RESOURCES BERHAD Summary",Property - Main Market,0.600 - 1.120,-1.35,-14,-4.40,0.00,0.00%,0.19,34.99,2,85.9M,Neutral 42.8,Neutral 30.0
HAI-O ENTERPRISE BERHAD,"HAIO (7668)
HAI-O ENTERPRISE BERHAD Summary",Consumer Products & Services - Main Market,2.480 - 5.390,17.35,14,17.87,15.00,5.91%,2.47,122.90,2,762.8M,Oversold 19.6,Oversold 4.0
SAUDEE GROUP BERHAD,"SAUDEE (5157) [s]
SAUDEE GROUP BERHAD Summary",Consumer Products & Services - Main Market,0.280 - 0.475,-4.77,-14,-2.24,0.00,0.00%,0.68,53.87,1,42.4M,Neutral 53.3,Neutral 57.1
GEORGE KENT (MALAYSIA) BERHAD,"GKENT (3204) [s]
GEORGE KENT (MALAYSIA) BERHAD Summary",Construction - Main Market,0.755 - 4.240,17.09,8,15.08,6.90,6.05%,1.29,76.47,1,642.1M,Neutral 53.1,Neutral 42.9
SAPURA ENERGY BERHAD,"SAPNRG (5218) [s]
SAPURA ENERGY BERHAD Summary",Energy - Main Market,0.255 - 0.910,16.90,26,1.30,0.04,0.12%,4.35,33.18,1,"5,353.0M",Neutral 53.4,Neutral 33.3
MYNEWS HOLDINGS BERHAD,"MYNEWS (5275)
MYNEWS HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,1.260 - 1.720,9.90,33,4.16,1.00,0.73%,3.26,62.29,2,934.6M,Neutral 51.2,Neutral 57.1
NEXGRAM HOLDINGS BERHAD,"NEXGRAM (0096) [s]
NEXGRAM HOLDINGS BERHAD Summary",Telecommunications & Media - Ace Market,0.010 - 0.070,-0.38,-1,-2.78,0.00,0.00%,0.00,2.48,1,41.4M,Neutral 51.8,Overbought 100.0
MCE HOLDINGS BERHAD,"MCEHLDG (7004) [s]
MCE HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.435 - 0.830,-4.39,-7,-8.73,0.00,0.00%,0.32,141.74,0,28.0M,Neutral 53.1,Neutral 37.5
TECHNODEX BHD,"TDEX (0132) [s]
TECHNODEX BHD Summary",Technology - Ace Market,0.065 - 0.130,-17.00,-7,-1.19,0.00,0.00%,1.14,10.21,1,47.2M,Neutral 51.1,Overbought 100.0
SUBUR TIASA HOLDINGS BERHAD,"SUBUR (6904) [s]
SUBUR TIASA HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.400 - 1.000,-3.84,-5,-12.11,0.00,0.00%,0.17,138.19,0,113.9M,Neutral 55.3,Neutral 64.3
SUPERLON HOLDINGS BERHAD,"SUPERLN (7235) [s]
SUPERLON HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.995 - 1.610,8.00,18,6.25,1.14,1.03%,1.42,64.78,2,177.6M,Oversold 21.7,Oversold 3.7
TOP GLOVE CORPORATION BHD,"TOPGLOV (7113) [s]
TOP GLOVE CORPORATION BHD Summary",Health Care - Main Market,4.300 - 12.480,17.34,27,16.99,5.93,1.28%,4.71,185.09,2,"11,829.9M",Neutral 51.4,Overbought 88.9
UNITED MALACCA BERHAD,"UMCCA (2593) [s]
UNITED MALACCA BERHAD Summary",Plantation - Main Market,5.120 - 6.530,-1.30,-58,-9.39,8.00,1.47%,0.75,99.94,5,"1,140.7M",Neutral 50.1,Neutral 66.7
SOLID AUTOMOTIVE BERHAD,"SOLID (5242) [s]
SOLID AUTOMOTIVE BERHAD Summary",Consumer Products & Services - Main Market,0.280 - 0.370,0.58,103,0.30,0.24,0.77%,0.60,35.20,1,121.5M,Neutral 53.4,Overbought 100.0
ANALABS RESOURCES BERHAD,"ANALABS (7083) [s]
ANALABS RESOURCES BERHAD Summary",Industrial Products & Services - Main Market,1.010 - 2.840,3.64,15,7.22,1.85,1.70%,0.55,115.50,1,130.9M,Neutral 41.2,Oversold 0.0
SAPURA INDUSTRIAL BERHAD,"SAPIND (7811) [s]
SAPURA INDUSTRIAL BERHAD Summary",Industrial Products & Services - Main Market,0.690 - 0.900,4.04,13,5.82,4.00,5.26%,0.53,314.37,0,55.3M,Neutral 54.2,Neutral 60.0
BERJAYA LAND BERHAD,"BJLAND (4219)
BERJAYA LAND BERHAD Summary",Consumer Products & Services - Main Market,0.180 - 0.365,-2.22,-14,-1.82,0.00,0.00%,0.30,123.72,0,"1,250.1M",Neutral 34.3,Oversold 11.1
DPI HOLDINGS BERHAD,"DPIH (0205)
DPI HOLDINGS BERHAD Summary",Consumer Products & Services - Ace Market,0.185 - 0.350,4.00,33,0.56,0.00,0.00%,1.32,4.15,4,90.0M,Oversold 19.9,Oversold 0.0
JAYCORP BERHAD,"JAYCORP (7152) [s]
JAYCORP BERHAD Summary",Consumer Products & Services - Main Market,0.750 - 1.010,9.77,8,11.33,8.00,8.42%,0.82,231.67,0,130.4M,Neutral 63.9,Neutral 61.3
REDTONE INTERNATIONAL BERHAD,"REDTONE (0032)
REDTONE INTERNATIONAL BERHAD Summary",Telecommunications & Media - Ace Market,0.150 - 0.335,9.07,17,1.81,0.00,0.00%,1.50,18.09,2,227.5M,Neutral 66.0,Neutral 66.7
ASDION BERHAD,"ASDION (0068) [s]
ASDION BERHAD Summary",Technology - Ace Market,0.155 - 0.535,-30.71,-13,-2.15,0.00,0.00%,4.00,9.78,3,32.6M,Neutral 62.9,Neutral 60.0
GLOMAC BERHAD,"GLOMAC (5020) [s]
GLOMAC BERHAD Summary",Property - Main Market,0.360 - 0.530,2.41,11,3.32,1.49,4.03%,0.27,35.57,1,296.0M,Neutral 49.0,Neutral 50.0
SAMCHEM HOLDINGS BERHAD,"SAMCHEM (5147)
SAMCHEM HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.595 - 1.150,14.81,8,7.85,2.00,3.36%,1.12,402.65,0,161.8M,Neutral 34.6,Oversold 0.0
SCIENTEX BERHAD,"SCIENTX (4731) [s]
SCIENTEX BERHAD Summary",Industrial Products & Services - Main Market,6.510 - 9.480,14.28,16,53.82,20.00,2.34%,2.27,547.00,2,"4,397.8M",Neutral 48.8,Overbought 85.2
BERJAYA SPORTS TOTO BERHAD,"BJTOTO (1562)
BERJAYA SPORTS TOTO BERHAD Summary",Consumer Products & Services - Main Market,2.010 - 2.620,30.29,14,17.87,15.50,6.40%,4.10,415.65,1,"3,269.5M",Neutral 64.0,Overbought 88.9
MAGNI-TECH INDUSTRIES BERHAD,"MAGNI (7087) [s]
MAGNI-TECH INDUSTRIES BERHAD Summary",Consumer Products & Services - Main Market,3.880 - 5.520,19.39,7,62.05,23.00,4.97%,1.45,650.82,1,753.4M,Neutral 50.9,Neutral 29.5
