"X","code","date","news","extract_code","extracted_date","sentiscore","final_sentiment"
13867,"https://www.klsescreener.com/v2/news/stock/0007","TheStar18 Mar, 2019 12:50pm - 1 week ago","klci gains on expectations of dovish fed announcements","0007","2019-03-18",1,"pos"
13866,"https://www.klsescreener.com/v2/news/stock/0007","TheEdge18 Mar, 2019 12:53pm - 1 week ago","klci pares gains up   as select blue chips lift","0007","2019-03-18",1,"pos"
13869,"https://www.klsescreener.com/v2/news/stock/0007","TheEdge18 Mar, 2019 10:20am - 1 week ago","klci tracks regional markets up   as select blue chips lift","0007","2019-03-18",0,"neu"
2774,"https://www.klsescreener.com/v2/news/stock/0008","Sinchew04 Apr, 2019 10:05am - 6 days ago","        ","0008","2019-04-04",0,"neu"
2775,"https://www.klsescreener.com/v2/news/stock/0008","TheStar04 Apr, 2019 09:00am - 6 days ago","trading ideas genting willowglen mmc awc","0008","2019-04-04",0,"neu"
2776,"https://www.klsescreener.com/v2/news/stock/0008","TheStar04 Apr, 2019 08:00am - 6 days ago","willowglen wins tnb contract","0008","2019-04-04",1,"pos"
2777,"https://www.klsescreener.com/v2/news/stock/0008","TheEdge04 Apr, 2019 00:53am - 6 days ago","genting genting malaysia can one kian joo sino hua an mmc corp awc kip reit and willowglen msc","0008","2019-04-04",0,"neu"
2778,"https://www.klsescreener.com/v2/news/stock/0008","Nanyang04 Apr, 2019 00:05am - 6 days ago","      ","0008","2019-04-04",0,"neu"
2779,"https://www.klsescreener.com/v2/news/stock/0008","TheEdge03 Apr, 2019 19:15pm - 1 week ago","willowglen gets terminal unit contract from tnb","0008","2019-04-03",0,"neu"
8422,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge25 Mar, 2019 13:05pm - 1 week ago","klci sinks   as regional markets stumble","0010","2019-03-25",-1,"neg"
8423,"https://www.klsescreener.com/v2/news/stock/0010","TheStar22 Mar, 2019 17:49pm - 1 week ago","iris corp executive director rozabil resigns","0010","2019-03-22",0,"neu"
8424,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge19 Mar, 2019 17:00pm - 2 weeks ago","ppam job cancellations will affect more developers","0010","2019-03-19",0,"neu"
8425,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge19 Mar, 2019 14:00pm - 2 weeks ago","insider moves mq technology bhd seacera group bhd alam maritim resources bhd barakah offshore petroleum bhd media prima bhd","0010","2019-03-19",0,"neu"
17508,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge25 Mar, 2019 13:28pm - 2 weeks ago","          ","0010","2019-03-25",0,"neu"
17507,"https://www.klsescreener.com/v2/news/stock/0010","Sinchew25 Mar, 2019 13:39pm - 2 weeks ago","               ","0010","2019-03-25",0,"neu"
17471,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge15 Mar, 2019 10:16am - 3 days ago","klci reverses loss edges higher in line with region","0010","2019-03-15",-1,"neg"
8418,"https://www.klsescreener.com/v2/news/stock/0010","TheStar26 Mar, 2019 09:15am - 1 week ago","iris seen as strong candidate for possible mykad contract","0010","2019-03-26",1,"pos"
17501,"https://www.klsescreener.com/v2/news/stock/0010","Sinchew26 Mar, 2019 11:20am - 1 day ago","             ","0010","2019-03-26",0,"neu"
17500,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge27 Mar, 2019 12:49pm - 7 hours ago","klci pares loss after dipping to  month low","0010","2019-03-27",-1,"neg"
17499,"https://www.klsescreener.com/v2/news/stock/0010","TheStar27 Mar, 2019 12:56pm - 7 hours ago","klci extends fall banks telcos lead decline","0010","2019-03-27",-1,"neg"
17497,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge27 Mar, 2019 13:13pm - 7 hours ago","            ","0010","2019-03-27",0,"neu"
17496,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge27 Mar, 2019 14:00pm - 6 hours ago","iris corp in pursuit of acquisitions partners","0010","2019-03-27",0,"neu"
8411,"https://www.klsescreener.com/v2/news/stock/0010","TheStar27 Mar, 2019 17:05pm - 1 week ago","public bank genting lead klci lower","0010","2019-03-27",1,"pos"
17472,"https://www.klsescreener.com/v2/news/stock/0010","TheStar12 Mar, 2019 00:00am - 6 days ago","proton expects sales of persona iriz to increase ","0010","2019-03-12",0,"neu"
8408,"https://www.klsescreener.com/v2/news/stock/0010","TheStar30 Mar, 2019 07:35am - 4 days ago","ghls petrol subsidy win a market surprise","0010","2019-03-30",1,"pos"
17494,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge27 Mar, 2019 18:52pm - 1 hour ago","fbm klci at years low in the absence of positive catalysts","0010","2019-03-27",0,"neu"
17478,"https://www.klsescreener.com/v2/news/stock/0010","Sinchew28 Feb, 2019 09:50am - 2 weeks ago","ihh             ","0010","2019-02-28",0,"neu"
17479,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge26 Feb, 2019 14:00pm - 2 weeks ago","insider moves utusan melayu malaysia bhd tfp solutions bhd asia media group bhd xinghe holdings bhd cahya mata sarawak bhd kronologi asia bhd","0010","2019-02-26",0,"neu"
8354,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge16 Apr, 2019 14:00pm - 1 day ago","insider moves kian joo can factory bhd iris corp bhd jmr conglomeration bhd muda holdings bhd straits inter logistics bhd alam maritim resources bhd","0010","2019-04-16",0,"neu"
8353,"https://www.klsescreener.com/v2/news/stock/0010","TheStar16 Apr, 2019 18:22pm - 1 day ago","will upbeat economic data make china tap the brakes on monetary easing","0010","2019-04-16",2,"pos"
17473,"https://www.klsescreener.com/v2/news/stock/0010","TheStar05 Mar, 2019 16:17pm - 1 week ago","china to slash taxes boost lending to prop up slowing economy","0010","2019-03-05",1,"pos"
17480,"https://www.klsescreener.com/v2/news/stock/0010","TheStar26 Feb, 2019 00:00am - 2 weeks ago","debt is roaring back in china","0010","2019-02-26",-1,"neg"
17477,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge28 Feb, 2019 10:12am - 2 weeks ago","klci drifts lower in line with regional markets","0010","2019-02-28",0,"neu"
17481,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge25 Feb, 2019 10:21am - 3 weeks ago","rf contribution expected to remain soft for inari amertron","0010","2019-02-25",2,"pos"
8356,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge09 Apr, 2019 10:29am - 1 week ago","klci down   as ihh mahb drag","0010","2019-04-09",-1,"neg"
8355,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge09 Apr, 2019 11:07am - 1 week ago","ihh         ","0010","2019-04-09",0,"neu"
17475,"https://www.klsescreener.com/v2/news/stock/0010","TheEdge28 Feb, 2019 13:01pm - 2 weeks ago","klci dips   as regional sentiment turns cautious","0010","2019-02-28",0,"neu"
11816,"https://www.klsescreener.com/v2/news/stock/0011","TheEdge18 Mar, 2019 13:18pm - 1 month ago","crest builder l g brite tech carimin destini federal international lb aluminium marine general master pack mieco minho mscm orion ixl public packages","0011","2019-03-18",1,"pos"
2066,"https://www.klsescreener.com/v2/news/stock/0012","Sinchew14 Mar, 2019 17:48pm - 3 weeks ago","   ipo           ","0012","2019-03-14",0,"neu"
2067,"https://www.klsescreener.com/v2/news/stock/0012","Sinchew25 Feb, 2019 16:19pm - 1 month ago","                ","0012","2019-02-25",0,"neu"
2064,"https://www.klsescreener.com/v2/news/stock/0012","TheEdge19 Mar, 2019 13:22pm - 3 weeks ago","crest builder eden three a damansara realty kian joo komark magni tech mtd mscm qes thriven","0012","2019-03-19",0,"neu"
2063,"https://www.klsescreener.com/v2/news/stock/0012","Nanyang19 Mar, 2019 23:55pm - 3 weeks ago","   a   rm ","0012","2019-03-19",0,"neu"
2062,"https://www.klsescreener.com/v2/news/stock/0012","TheEdge20 Mar, 2019 10:37am - 3 weeks ago","stock with momentum three a resources","0012","2019-03-20",0,"neu"
8803,"https://www.klsescreener.com/v2/news/stock/0017","Sinchew09 Mar, 2019 11:18am - 3 weeks ago","m    ","0017","2019-03-09",0,"neu"
10243,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge13 Mar, 2019 20:26pm - 4 days ago","lambo group proposes one for two bonus warrants","0018","2019-03-13",1,"pos"
1182,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge12 Mar, 2019 11:08am - 4 weeks ago","best new cars at the geneva auto show","0018","2019-03-12",1,"pos"
1173,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge29 Mar, 2019 23:50pm - 4 days ago","public bank ecoworld uda tasco gdex airasia tdm lambo sunway damansara realty and vertice","0018","2019-03-29",0,"neu"
1173,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge25 Mar, 2019 10:47am - 2 days ago","stock with momentum lambo group","0018","2019-03-25",0,"neu"
1174,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge22 Mar, 2019 13:29pm - 5 days ago","vsolar ygl hibiscus lambo progressive impact","0018","2019-03-22",1,"pos"
1174,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge29 Mar, 2019 20:20pm - 5 days ago","lambo group appoints abdullah abdul rahman as chairman","0018","2019-03-29",0,"neu"
1175,"https://www.klsescreener.com/v2/news/stock/0018","Sinchew14 Mar, 2019 11:46am - 1 week ago","lambo  ","0018","2019-03-14",0,"neu"
1177,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge13 Mar, 2019 23:03pm - 1 week ago","cms lafarge destini bermaz auto and lambo","0018","2019-03-13",0,"neu"
1178,"https://www.klsescreener.com/v2/news/stock/0018","TheEdge13 Mar, 2019 20:53pm - 1 week ago","    ","0018","2019-03-13",0,"neu"
1173,"https://www.klsescreener.com/v2/news/stock/0018","Sinchew11 Apr, 2019 11:34am - 6 days ago","      lambo    ","0018","2019-04-11",0,"neu"
8424,"https://www.klsescreener.com/v2/news/stock/0020","TheEdge19 Mar, 2019 20:39pm - 4 weeks ago","fintec global takes control of zouk club kl in rmm deal","0020","2019-03-19",0,"neu"
3120,"https://www.klsescreener.com/v2/news/stock/0021","TheStar28 Mar, 2019 08:25am - 1 week ago","ghl bags petrol subsidy contract","0021","2019-03-28",0,"neu"
3121,"https://www.klsescreener.com/v2/news/stock/0021","TheEdge28 Mar, 2019 00:05am - 1 week ago","gamuda yinson ghl gdb eco world development scgm and stone master","0021","2019-03-28",1,"pos"
3122,"https://www.klsescreener.com/v2/news/stock/0021","TheEdge27 Mar, 2019 19:54pm - 2 weeks ago","ghl  ron    ","0021","2019-03-27",0,"neu"
3123,"https://www.klsescreener.com/v2/news/stock/0021","TheEdge27 Mar, 2019 18:49pm - 2 weeks ago","ghl bags rmm project for ron subsidy programme","0021","2019-03-27",0,"neu"
3124,"https://www.klsescreener.com/v2/news/stock/0021","TheStar27 Mar, 2019 06:20am - 2 weeks ago","no cash no problem","0021","2019-03-27",-1,"neg"
3119,"https://www.klsescreener.com/v2/news/stock/0021","TheStar28 Mar, 2019 09:00am - 1 week ago","trading ideas yinson ghl gdb scgm gamuda","0021","2019-03-28",0,"neu"
3119,"https://www.klsescreener.com/v2/news/stock/0021","TheStar28 Mar, 2019 09:32am - 2 weeks ago","quick take contract win sends ghl shares up ","0021","2019-03-28",1,"pos"
3118,"https://www.klsescreener.com/v2/news/stock/0021","TheEdge28 Mar, 2019 11:30am - 2 weeks ago","ghl systems up   on landing rmm govt job","0021","2019-03-28",0,"neu"
3117,"https://www.klsescreener.com/v2/news/stock/0021","TheEdge28 Mar, 2019 11:51am - 2 weeks ago","      ghl    ","0021","2019-03-28",0,"neu"
3116,"https://www.klsescreener.com/v2/news/stock/0021","Nanyang29 Mar, 2019 00:05am - 2 weeks ago","ghl        ron   ","0021","2019-03-29",0,"neu"
999,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge05 Mar, 2019 13:05pm - 1 month ago","klci remains below   level on lack of fresh catalysts","0023","2019-03-05",0,"neu"
1005,"https://www.klsescreener.com/v2/news/stock/0023","TheStar01 Mar, 2019 12:57pm - 1 month ago","tnb cimb and genting lead klci below  ","0023","2019-03-01",1,"pos"
10041,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge11 Mar, 2019 12:53pm - 1 week ago","klci struggles in line with region falls  ","0023","2019-03-11",-2,"neg"
10039,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge14 Mar, 2019 13:31pm - 4 days ago","kkb ifcamsc zelan huaan plenitude hockheng turbo scable dsonic bauto reach carimin mtdacpi mcehldg big zecon scomi thheavy destini nihsin handal","0023","2019-03-14",0,"neu"
997,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge11 Mar, 2019 10:24am - 1 month ago","klci pulls back   in line with regional retreat","0023","2019-03-11",-1,"neg"
1006,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge28 Feb, 2019 13:07pm - 1 month ago","ifcamsc mbmr peterlabs pccs thheavy","0023","2019-02-28",0,"neu"
1007,"https://www.klsescreener.com/v2/news/stock/0023","TheStar28 Feb, 2019 10:48am - 1 month ago","quick take ifca rallies  on higher earnings","0023","2019-02-28",0,"neu"
1001,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge04 Mar, 2019 10:20am - 1 month ago","klci pares loss remains below  ","0023","2019-03-04",-1,"neg"
1002,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge01 Mar, 2019 14:10pm - 1 month ago","ifcamsc maa penergy yocb gdex mikromb kab naim bpplas","0023","2019-03-01",0,"neu"
1009,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge25 Feb, 2019 10:30am - 1 month ago","stock with momentum ifca msc","0023","2019-02-25",0,"neu"
1004,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge01 Mar, 2019 13:11pm - 1 month ago","klci falls   remains below   level as heavyweights drag","0023","2019-03-01",-2,"neg"
993,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge15 Apr, 2019 10:18am - 2 days ago","klci rises   on revived ecrl news firmer regional markets","0023","2019-04-15",1,"pos"
994,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge15 Apr, 2019 09:04am - 2 days ago","ifca banks on sme market growth to outdo fys performance","0023","2019-04-15",1,"pos"
992,"https://www.klsescreener.com/v2/news/stock/0023","TheEdge15 Apr, 2019 10:53am - 2 days ago","    ercl       ","0023","2019-04-15",0,"neu"
5410,"https://www.klsescreener.com/v2/news/stock/0024","TheStar04 Mar, 2019 10:02am - 2 weeks ago","quick take jag capital pays large premium for  kub stake","0024","2019-03-04",0,"neu"
5409,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge04 Mar, 2019 11:37am - 2 weeks ago","kub sees entry of new substantial shareholder jag capital with   stake","0024","2019-03-04",0,"neu"
5408,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge04 Mar, 2019 12:42pm - 2 weeks ago","jag capital emerges as largest shareholder in kub with  stake","0024","2019-03-04",0,"neu"
14569,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge02 Apr, 2019 10:54am - 2 weeks ago","ex finance minister ii johari is now kub chairman","0024","2019-04-02",0,"neu"
14570,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge02 Apr, 2019 09:41am - 2 weeks ago","        kub  ","0024","2019-04-02",0,"neu"
14571,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge02 Apr, 2019 09:27am - 2 weeks ago","kub malaysia active up   after johari made non exec chairman","0024","2019-04-02",0,"neu"
14572,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge02 Apr, 2019 00:44am - 2 weeks ago","kub wah seong alam maritim coastal contracts scientex daibochi suncon and yinson","0024","2019-04-02",0,"neu"
14594,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge26 Mar, 2019 14:00pm - 1 day ago","insider moves marco holdings bhd amfirst reit berjaya corp bhd connectcounty holdings bhd kub malaysia bhd berjaya land bhd","0024","2019-03-26",0,"neu"
14574,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge01 Apr, 2019 15:53pm - 2 weeks ago","         kub ","0024","2019-04-01",0,"neu"
14575,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge01 Apr, 2019 14:48pm - 2 weeks ago","ex finance minister ii johari redesignated as kub chairman","0024","2019-04-01",0,"neu"
14578,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge21 Mar, 2019 14:00pm - 3 weeks ago","off market trades kub malaysia bhd apft bhd merge energy bhd rex industry bhd","0024","2019-03-21",0,"neu"
14568,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge04 Apr, 2019 10:23am - 1 week ago","klci stays in red as genting linked stocks weigh","0024","2019-04-04",0,"neu"
14602,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge20 Mar, 2019 13:13pm - 1 week ago","     jag ","0024","2019-03-20",0,"neu"
14597,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge21 Mar, 2019 13:00pm - 6 days ago","klci loses   as banks top glove drag","0024","2019-03-21",-1,"neg"
5399,"https://www.klsescreener.com/v2/news/stock/0024","TheStar09 Mar, 2019 00:00am - 1 week ago","true equality","0024","2019-03-09",0,"neu"
5400,"https://www.klsescreener.com/v2/news/stock/0024","Nanyang08 Mar, 2019 00:00am - 1 week ago","     ","0024","2019-03-08",0,"neu"
5401,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge05 Mar, 2019 10:13am - 1 week ago","jag capital now the largest shareholder of kub","0024","2019-03-05",0,"neu"
5402,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge05 Mar, 2019 00:18am - 1 week ago","top glove kub malaysia dnex hibiscus petroleum censof uni wall harn len sunway cahya mata sarawak aturmaju and mct","0024","2019-03-05",1,"pos"
5403,"https://www.klsescreener.com/v2/news/stock/0024","Nanyang05 Mar, 2019 00:00am - 1 week ago","jag               ","0024","2019-03-05",0,"neu"
5404,"https://www.klsescreener.com/v2/news/stock/0024","TheStar05 Mar, 2019 00:00am - 1 week ago","johari emerges as major shareholder in kub","0024","2019-03-05",0,"neu"
5406,"https://www.klsescreener.com/v2/news/stock/0024","Sinchew04 Mar, 2019 19:43pm - 1 week ago","              ","0024","2019-03-04",0,"neu"
14613,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge20 Mar, 2019 00:34am - 1 week ago","salcon t global uzma lkl international jag green packet mrcb scientex and glomac","0024","2019-03-20",0,"neu"
14612,"https://www.klsescreener.com/v2/news/stock/0024","TheStar20 Mar, 2019 09:00am - 1 week ago","trading ideas salcon t global uzma lkl international jag glomac","0024","2019-03-20",0,"neu"
14611,"https://www.klsescreener.com/v2/news/stock/0024","TheStar20 Mar, 2019 09:17am - 1 week ago","quick take jag attracts trading interest jumps ","0024","2019-03-20",0,"neu"
14610,"https://www.klsescreener.com/v2/news/stock/0024","TheStar20 Mar, 2019 09:31am - 1 week ago","jag in mou for bauxite mining","0024","2019-03-20",0,"neu"
14609,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge20 Mar, 2019 10:20am - 1 week ago","klci down   on sustained profit taking","0024","2019-03-20",0,"neu"
14607,"https://www.klsescreener.com/v2/news/stock/0024","Sinchew20 Mar, 2019 11:43am - 1 week ago","jag  ","0024","2019-03-20",0,"neu"
14606,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge20 Mar, 2019 12:01pm - 1 week ago","jag up on bauxite mining deal","0024","2019-03-20",0,"neu"
14604,"https://www.klsescreener.com/v2/news/stock/0024","TheStar20 Mar, 2019 12:55pm - 1 week ago","investors cash in on stocks ringgit unmoved ahead of fomc results","0024","2019-03-20",-1,"neg"
14603,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge20 Mar, 2019 12:59pm - 1 week ago","klci falls   as regional sentiment turns negative","0024","2019-03-20",-2,"neg"
14582,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge21 Mar, 2019 10:27am - 3 weeks ago","klci erases earlier gains as momentum indicators remain sluggish","0024","2019-03-21",0,"neu"
5407,"https://www.klsescreener.com/v2/news/stock/0024","TheEdge04 Mar, 2019 13:39pm - 2 weeks ago","  jag capital kub   ","0024","2019-03-04",0,"neu"
1688,"https://www.klsescreener.com/v2/news/stock/0026","TheEdge10 Apr, 2019 18:05pm - 4 hours ago","nova msc gets nod for latest fundraising exercise to speed up market expansion","0026","2019-04-10",0,"neu"
1690,"https://www.klsescreener.com/v2/news/stock/0026","TheEdge11 Apr, 2019 10:35am - 6 days ago","nova msc aims to speed up market expansion","0026","2019-04-11",0,"neu"
1689,"https://www.klsescreener.com/v2/news/stock/0026","Sinchew11 Apr, 2019 11:30am - 6 days ago","          ai  ","0026","2019-04-11",0,"neu"
6424,"https://www.klsescreener.com/v2/news/stock/0028","TheEdge12 Mar, 2019 13:15pm - 1 month ago","danco dbhd fajar kian joo pccs perdana scope unimech velesto","0028","2019-03-12",0,"neu"
6425,"https://www.klsescreener.com/v2/news/stock/0028","TheEdge11 Mar, 2019 13:05pm - 1 month ago","alam maritim gpa masteel pccs prestar scope vsolar wtk","0028","2019-03-11",0,"neu"
6452,"https://www.klsescreener.com/v2/news/stock/0028","TheEdge07 Mar, 2019 14:00pm - 2 weeks ago","carbon risk not accurately measured in portfolios says morningstar","0028","2019-03-07",0,"neu"
6449,"https://www.klsescreener.com/v2/news/stock/0028","TheEdge20 Mar, 2019 13:24pm - 1 week ago","scope kian joo south malaysia industries hb global bina darulaman jaycorp public packages federal","0028","2019-03-20",0,"neu"
6453,"https://www.klsescreener.com/v2/news/stock/0028","TheEdge03 Apr, 2019 13:48pm - 1 week ago","scope peterlabs lafarge sealink pls","0028","2019-04-03",0,"neu"
6452,"https://www.klsescreener.com/v2/news/stock/0028","TheStar09 Apr, 2019 11:05am - 1 day ago","shell aims to cut carbon footprint","0028","2019-04-09",0,"neu"
2006,"https://www.klsescreener.com/v2/news/stock/0032","TheEdge13 Mar, 2019 13:33pm - 4 weeks ago","awc gadang halex ho hup jerasia pccs perdana prestariang redtone salcon sapura skb tas trc turbo wcehb","0032","2019-03-13",0,"neu"
2005,"https://www.klsescreener.com/v2/news/stock/0032","TheStar20 Mar, 2019 09:26am - 3 weeks ago","klci in the red asian markets fall after weak wall st opening","0032","2019-03-20",-2,"neg"
2002,"https://www.klsescreener.com/v2/news/stock/0032","TheEdge01 Apr, 2019 13:36pm - 1 week ago","gets global redtone ktb tasco sealink ho hup sycal","0032","2019-04-01",0,"neu"
2004,"https://www.klsescreener.com/v2/news/stock/0032","Sinchew20 Mar, 2019 12:00pm - 2 weeks ago","mtns           ","0032","2019-03-20",0,"neu"
2003,"https://www.klsescreener.com/v2/news/stock/0032","TheEdge17 Apr, 2019 13:21pm - 9 hours ago","karex redtone eduspec nwp gpa","0032","2019-04-17",0,"neu"
17431,"https://www.klsescreener.com/v2/news/stock/0034","TheEdge11 Apr, 2019 14:00pm - 6 days ago","off market trades mscm holdings bhd straits inter logistics bhd jmr conglomeration bhd eco world development group bhd","0034","2019-04-11",0,"neu"
2439,"https://www.klsescreener.com/v2/news/stock/0035","TheEdge02 Apr, 2019 08:35am - 2 weeks ago","possible for further upside for opcom says publicinvest research","0035","2019-04-02",0,"neu"
2440,"https://www.klsescreener.com/v2/news/stock/0035","Nanyang29 Mar, 2019 00:10am - 2 weeks ago","opcom   ","0035","2019-03-29",0,"neu"
9921,"https://www.klsescreener.com/v2/news/stock/0037","TheEdge27 Feb, 2019 10:20am - 2 weeks ago","klci down   as blue chips drag","0037","2019-02-27",-1,"neg"
9984,"https://www.klsescreener.com/v2/news/stock/0037","TheEdge11 Mar, 2019 11:30am - 3 weeks ago","cover story brighter outlook for small caps","0037","2019-03-11",1,"pos"
872,"https://www.klsescreener.com/v2/news/stock/0037","TheStar15 Apr, 2019 07:05am - 2 days ago","rgb to grow gaming concession business","0037","2019-04-15",-1,"neg"
11363,"https://www.klsescreener.com/v2/news/stock/0039","TheEdge08 Apr, 2019 13:21pm - 2 days ago","gfm hektar reit talamt ann joo dps hok heng pentamaster pesona metro perak corp smtrack success transformer sycal","0039","2019-04-08",1,"pos"
11362,"https://www.klsescreener.com/v2/news/stock/0039","TheEdge08 Apr, 2019 13:21pm - 2 days ago","grm hektar reit talamt ann joo dps hok heng pentamaster pesona metro perak corp smtrack success transformer sycal","0039","2019-04-08",1,"pos"
11340,"https://www.klsescreener.com/v2/news/stock/0039","TheEdge12 Apr, 2019 13:36pm - 5 days ago","sasbadi gfm sc estate sedania qes nwp cni prestar","0039","2019-04-12",0,"neu"
11341,"https://www.klsescreener.com/v2/news/stock/0039","TheEdge11 Apr, 2019 14:02pm - 6 days ago","focus on o g construction sectors hlib research tells retail investors","0039","2019-04-11",0,"neu"
11339,"https://www.klsescreener.com/v2/news/stock/0039","Nanyang13 Apr, 2019 00:05am - 4 days ago","gfm     ","0039","2019-04-13",0,"neu"
9055,"https://www.klsescreener.com/v2/news/stock/0041","Nanyang08 Mar, 2019 00:06am - 1 month ago","panpagesmscm","0041","2019-03-08",0,"neu"
7101,"https://www.klsescreener.com/v2/news/stock/0043","TheEdge18 Mar, 2019 21:49pm - 1 month ago","metronic eyes us b worth of g technology smart city solution projects","0043","2019-03-18",2,"pos"
16250,"https://www.klsescreener.com/v2/news/stock/0043","TheStar21 Mar, 2019 09:32am - 6 days ago","quick take metronic falls  in active trade","0043","2019-03-21",-1,"neg"
16259,"https://www.klsescreener.com/v2/news/stock/0043","TheEdge18 Mar, 2019 22:34pm - 1 week ago","tm magni tech ammb ytl corp barakah mhb kian joo can one scientex daibochi tasek corp btoto metronic and lotte chemical titan","0043","2019-03-18",0,"neu"
16258,"https://www.klsescreener.com/v2/news/stock/0043","Chinapress18 Mar, 2019 23:20pm - 1 week ago","               g  ","0043","2019-03-18",0,"neu"
16257,"https://www.klsescreener.com/v2/news/stock/0043","TheEdge19 Mar, 2019 05:55am - 1 week ago","klci seen extending gains hurdle at  ","0043","2019-03-19",1,"pos"
